03/23,DOMINO'S 6345 636-385-0398 KS,8.72
03/27,K C INDIA MART OVERLAND PARK KS,80.17
03/26,WAL-MART #0577 OLATHE KS,13.14
03/28,CHIPOTLE 3318 OLATHE KS,16.3
03/29,"EVERGY ""METRO 888-471-5275 ΜΟ",197.18
04/02,BURGER KING #5785 https://prod. KS,8.92
04/03,COSTCO WHSE #0369 OVERLAND PARK KS,4.34
04/03,COSTCO WHSE #0369 OVERLAND PARK KS,144.31
04/07,DOMINO'S 6345 636-385-0398 KS,8.72
04/09,PAYPAL *ILEADTAXLLC 402-935-7733 CA,69.95
04/08,SPECTRUM 855-707-7328 ΜΟ,29.99
04/08,COSTCO GAS #0369 OVERLAND PARK KS,30.48
04/09,K C INDIA MART OVERLAND PARK KS,88.79
04/09,STAPLES 00118471 OVERLAND PARK KS,3.52
04/11,WM SUPERCENTER #577 OLATHE KS,30.36
04/12,HEN HOUSE #34 OVERLAND PARK KS,5.46
04/12,TAJ GROCERS OVERLAND PARK KS,21.92
04/15,BURGER KING #5785 https://prod. KS,3.27
04/15,BURGER KING #5785 https://prod. KS,3.27
04/16,"EVERGY ""METRO 888-471-5275 ΜΟ",123.07
04/18,COLLEGE PARK FAMILY CA 913-469-0503 KS,222.14
04/19,OLIVE GARDEN 0021535 OLATHE KS,21.66
04/21,COSTCO WHSE #0369 OVERLAND PARK KS,31.85
04/21,WM SUPERCENTER #1599 OVERLAND PARK KS,16.33
04/21,TAJ GROCERS OVERLAND PARK KS,13.12
